"Date de début";"Date de fin";"Organisme";"code zas";"Zas";"code site";"nom site";"type d'implantation";"Polluant";"type d'influence";"Réglementaire";"type d'évaluation";"type de valeur";"valeur";"valeur brute";"unité de mesure";"taux de saisie";"couverture temporelle";"couverture de données";"code qualité";"validité";"Latitude";"Longitude"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"14.0";"14.382744845360813";"µg-m3";"98.0";"90.0";"89.0";"R";"1";"49.119442";"6.180833"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"12.0";"12.01663352438883";"µg-m3";"98.0";"99.0";"98.0";"R";"1";"49.110283";"6.223336"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO GRAND EST";"FR44ZRE01";"ZR GRAND-EST";"FR01014";"Pont-à-Mousson";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"14.0";"13.888037058482919";"µg-m3";"99.0";"100.0";"99.0";"R";"1";"48.915";"6.058336"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01020";"Thionville-Centre";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"14.0";"14.371638285378761";"µg-m3";"98.0";"99.0";"97.0";"R";"1";"49.358337";"6.156942"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01059";"HAYANGE-MARSPICH";"Périurbaine";"PM10";"Industrielle";"Oui";"mesures fixes";"Moy. annuelle";"14.0";"14.22126087474681";"µg-m3";"96.0";"99.0";"96.0";"R";"1";"49.3374";"6.08207"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01064";"Metz- Pont Grilles";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"15.0";"14.74881229622718";"µg-m3";"98.0";"100.0";"98.0";"R";"1";"49.12508";"6.181219"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZAG01";"ZAG MARSEILLE-AIX";"FR02008";"Port de Bouc Leque";"Urbaine";"PM10";"Industrielle";"Oui";"mesures fixes";"Moy. annuelle";"19.0";"19.311227084169747";"µg-m3";"86.0";"99.0";"85.0";"R";"1";"43.401952";"4.981919"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZRE02";"ZR PROVENCE-ALPES-COTE-D-AZUR";"FR02022";"Arles";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"18.0";"17.52879047945986";"µg-m3";"100.0";"100.0";"100.0";"R";"1";"43.675114";"4.62921"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZAG01";"ZAG MARSEILLE-AIX";"FR02029";"Chateauneuf La Mede";"Périurbaine";"PM10";"Industrielle";"Oui";"mesures fixes";"Moy. annuelle";"39.0";"38.8375";"µg-m3";"100.0";"0.0";"0.0";"N";"-1";"43.399546";"5.113214"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZAG01";"ZAG MARSEILLE-AIX";"FR02041";"SALON";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"13.0";"13.201794080676539";"µg-m3";"100.0";"100.0";"100.0";"R";"1";"43.639002";"5.101097"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZAG01";"ZAG MARSEILLE-AIX";"FR02043";"Marignane";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"17.0";"17.353522415370588";"µg-m3";"100.0";"100.0";"100.0";"R";"1";"43.4165306";"5.222281"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZAG01";"ZAG MARSEILLE-AIX";"FR03006";"MARSEILLE RABATAU";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"21.0";"21.344057834724296";"µg-m3";"97.0";"100.0";"97.0";"R";"1";"43.276451";"5.39736"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZAG01";"ZAG MARSEILLE-AIX";"FR03014";"MARSEILLE ST LOUIS";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"17.0";"16.659951512352762";"µg-m3";"99.0";"100.0";"99.0";"R";"1";"43.348048";"5.360119"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZRE02";"ZR PROVENCE-ALPES-COTE-D-AZUR";"FR03027";"PLAN AUPS/STE  BAUME";"Rurale près des villes";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"11.0";"11.021193652253904";"µg-m3";"99.0";"100.0";"99.0";"R";"1";"43.335201";"5.727365"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZAG01";"ZAG MARSEILLE-AIX";"FR03029";"AIX CENTRE ECOLE ART";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"13.0";"12.799199817101021";"µg-m3";"100.0";"100.0";"100.0";"R";"1";"43.530285";"5.440912"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZAG01";"ZAG MARSEILLE-AIX";"FR03030";"GARDANNE";"Périurbaine";"PM10";"Industrielle";"Oui";"mesures fixes";"Moy. annuelle";"19.0";"18.93357800447872";"µg-m3";"92.0";"100.0";"92.0";"R";"1";"43.453584";"5.466672"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZAG01";"ZAG MARSEILLE-AIX";"FR03043";"MARSEILLE 5 AVENUES";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"16.0";"16.327067758395636";"µg-m3";"97.0";"99.0";"96.0";"R";"1";"43.305287";"5.394716"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZRE02";"ZR PROVENCE-ALPES-COTE-D-AZUR";"FR03067";"BRIGNOLES";"Périurbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"16.0";"16.288485385296724";"µg-m3";"52.0";"25.0";"13.0";"N";"-1";"43.398731";"6.075611"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZAG03";"ZAG TOULON";"FR03068";"TOULON FOCH";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"24.0";"23.616185304990847";"µg-m3";"99.0";"100.0";"99.0";"R";"1";"43.126821";"5.921605"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZRE02";"ZR PROVENCE-ALPES-COTE-D-AZUR";"FR03070";"ESTEREL";"Périurbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"16.0";"16.243378887841626";"µg-m3";"97.0";"100.0";"97.0";"R";"1";"43.437874";"6.76839"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZAG03";"ZAG TOULON";"FR03071";"TOULON CLARET";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"18.0";"17.767109365977586";"µg-m3";"99.0";"100.0";"99.0";"R";"1";"43.131113";"5.924184"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZAG04";"ZAG AVIGNON";"FR03080";"AVIGNON   MAIRIE";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"15.0";"15.360747021081536";"µg-m3";"100.0";"100.0";"100.0";"R";"1";"43.949673";"4.804341"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO SUD";"FR93ZAG04";"ZAG AVIGNON";"FR03091";"Avignon Rocade De Gaulle";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"27.0";"26.56207272727278";"µg-m3";"94.0";"100.0";"94.0";"R";"1";"43.9314";"4.826875"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04002";"GENNEVILLIERS";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"16.0";"16.253258246178603";"µg-m3";"88.0";"97.0";"85.0";"R";"1";"48.930319";"2.29435"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"AIRPARIF";"FR11ZAG01";"ZAG PARIS";"FR04004";"PARIS 18eme";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"17.0";"17.217673014398503";"µg-m3";"98.0";"100.0";"98.0";"R";"1";"48.891666";"2.346667"
